iter	Logloss
0	0.4764415938
1	0.3812942625
2	0.3110223102
3	0.274695504
4	0.2394812709
5	0.2194896081
6	0.1965072546
7	0.1870691545
8	0.1720558768
9	0.1628523796
10	0.1550960285
11	0.1478861781
12	0.1349578782
13	0.1306730969
14	0.1274012509
15	0.1220365348
16	0.1152574134
17	0.1135055959
18	0.1093976886
19	0.1066572294
20	0.1036394939
21	0.1010056922
22	0.0991755486
23	0.09774225125
24	0.09582601048
25	0.09516826147
26	0.0947790544
27	0.09435596558
28	0.09299836357
29	0.09064933393
30	0.08972218086
31	0.08926693321
32	0.08652445136
33	0.08567278406
34	0.08526812978
35	0.0849687099
36	0.08420408401
37	0.08351890816
38	0.08296059094
39	0.08140584532
40	0.08110343148
41	0.08055950269
42	0.07951786965
43	0.07915682731
44	0.07871552883
45	0.07838051891
46	0.0781572049
47	0.07741223525
48	0.07687238692
49	0.07673990863
50	0.07573909557
51	0.07539930986
52	0.07518950477
53	0.07498924216
54	0.07473367824
55	0.07416920013
56	0.07374943241
57	0.07356994091
58	0.07327115575
59	0.07290388413
60	0.0726535677
61	0.07233896777
62	0.07209409995
63	0.07199010122
64	0.07155303029
65	0.07135601123
66	0.07079783039
67	0.07054194136
68	0.07039114558
69	0.06996295851
70	0.06941364366
71	0.06923329691
72	0.06901066071
73	0.06795566423
74	0.06761990225
75	0.06721352158
76	0.06686779641
77	0.06644523083
78	0.06627828857
79	0.06601349408
80	0.06583187284
81	0.06530228739
82	0.06514965524
83	0.06449091765
84	0.06427340208
85	0.06407708164
86	0.06385812588
87	0.06369850438
88	0.06325011962
89	0.06302842008
90	0.0629015493
91	0.06271145742
92	0.06258595167
93	0.06234811343
94	0.06167722
95	0.06150618896
96	0.06109176067
97	0.06088477818
98	0.06077562571
99	0.06057475216
100	0.06032757768
101	0.06021184157
102	0.06004061701
103	0.0597708793
104	0.05952494593
105	0.0592777129
106	0.05895495292
107	0.0584095393
108	0.0581374068
109	0.05787605803
110	0.05770420906
111	0.05752739706
112	0.05740541231
113	0.0572426225
114	0.0570739936
115	0.05686724943
116	0.05657045935
117	0.05646748157
118	0.05627028897
119	0.05617658657
120	0.05606490356
121	0.05588759424
122	0.05570579543
123	0.05558374179
124	0.05538818814
125	0.05524294026
126	0.05510563302
127	0.05500076232
128	0.05488152285
129	0.05479492006
130	0.05467338973
131	0.05452125696
132	0.05434447469
133	0.05412764967
134	0.05401164255
135	0.05392286037
136	0.05363694692
137	0.05346667195
138	0.05315567364
139	0.05306599667
140	0.05298169053
141	0.05285583948
142	0.0527606621
143	0.05267572515
144	0.05241110418
145	0.05230112686
146	0.05211613208
147	0.05200310623
148	0.05180945748
149	0.05168703139
150	0.05156917766
151	0.0514839332
152	0.05125528864
153	0.05104613239
154	0.05085742861
155	0.05075943296
156	0.0506619502
157	0.05057738955
158	0.05045155501
159	0.05032560442
160	0.05024592984
161	0.05013836393
162	0.05003456013
163	0.04988833131
164	0.04975467877
165	0.04951652079
166	0.04922587753
167	0.04912622749
168	0.04898136052
169	0.04885450108
170	0.04877352802
171	0.04862892032
172	0.04855762434
173	0.04848943387
174	0.04840672813
175	0.04834705333
176	0.04825654506
177	0.04816689603
178	0.04769334445
179	0.04761244211
180	0.04750486071
181	0.04741346793
182	0.04733447011
183	0.04725070934
184	0.04717345233
185	0.04704648963
186	0.04692448347
187	0.04599276555
188	0.04579841598
189	0.04574876521
190	0.04559845648
191	0.04540065035
192	0.04526280657
193	0.04511430835
194	0.04500756367
195	0.04484134945
196	0.04473160681
197	0.04459846687
198	0.04448373206
199	0.0444384838
200	0.04426510075
201	0.04416452522
202	0.04407626264
203	0.04396035323
204	0.04388448447
205	0.04377571814
206	0.04370631981
207	0.04365209888
208	0.04354480693
209	0.04345673127
210	0.04336884107
211	0.04329128486
212	0.04316117968
213	0.04307814783
214	0.04296878755
215	0.04288812175
216	0.0428117979
217	0.04271125228
218	0.04257220313
219	0.0424940625
220	0.04240888569
221	0.04227148997
222	0.04219125877
223	0.04205869332
224	0.04199125193
225	0.04194592497
226	0.04187676043
227	0.04177461056
228	0.04169098789
229	0.04161329262
230	0.04151910525
231	0.04144776047
232	0.04136167687
233	0.04129280281
234	0.04123506118
235	0.04118934943
236	0.04113947587
237	0.04101845167
238	0.04094110794
239	0.04080356285
240	0.04066066881
241	0.04058410184
242	0.04049939849
243	0.0403978345
244	0.04037278711
245	0.04032767038
246	0.0402484129
247	0.04017372428
248	0.0401135079
