iter	Passed	Remaining
159	27343	143554
160	27499	143306
161	27673	143149
162	27843	142974
163	28013	142802
164	28190	142658
165	28356	142464
166	28516	142239
167	28706	142164
168	28883	142023
169	29073	141947
170	29240	141756
171	29403	141548
172	29566	141336
173	29734	141151
174	29894	140930
175	30042	140655
176	30208	140462
177	30375	140274
178	30546	140105
179	30724	139968
180	30910	139866
181	31082	139701
182	31235	139450
183	31385	139187
184	31540	138947
185	31699	138729
186	31865	138538
187	32016	138282
188	32184	138102
189	32335	137853
190	32487	137605
191	32657	137434
192	32809	137189
193	32979	137016
194	33134	136784
195	33302	136608
196	33458	136381
197	33629	136215
198	33785	135990
199	33941	135767
200	34102	135559
201	34257	135333
202	34422	135145
203	34587	134958
204	34752	134772
205	34911	134560
206	35078	134381
207	35234	134162
208	35384	133920
209	35544	133716
210	35711	133537
211	35875	133349
212	36040	133163
213	36205	132979
214	36361	132762
215	36502	132491
216	36656	132268
217	36813	132054
218	36962	131817
219	37112	131581
220	37271	131379
221	37416	131127
222	37576	130928
223	37765	130832
224	37940	130683
225	38127	130579
226	38332	130532
227	38519	130425
228	38693	130272
229	38864	130111
230	39046	129985
231	39237	129888
232	39408	129727
233	39568	129529
234	39747	129391
235	39910	129202
236	40069	128999
237	40220	128774
238	40378	128567
239	40536	128365
240	40684	128129
241	40855	127970
242	41026	127805
243	41187	127613
244	41338	127388
245	41495	127185
246	41672	127042
247	41890	127021
248	42092	126954
249	42310	126932
250	42527	126905
251	42737	126856
252	42912	126701
253	43107	126606
254	43276	126435
255	43444	126261
256	43630	126138
257	43813	126006
258	43992	125862
259	44152	125665
260	44327	125509
261	44535	125447
262	44717	125312
263	44892	125153
264	45068	125001
265	45236	124826
266	45399	124634
267	45625	124618
268	45946	124857
269	46172	124835
270	46378	124760
271	46559	124616
272	46715	124404
273	46884	124227
274	47044	124027
275	47200	123816
276	47351	123593
277	47495	123352
278	47665	123178
279	47824	122976
280	47987	122787
281	48137	122563
282	48287	122339
283	48427	122092
284	48588	121898
285	48745	121692
286	48894	121470
287	49049	121261
288	49206	121057
289	49362	120853
290	49537	120694
291	49714	120540
292	49895	120396
293	50077	120253
294	50251	120092
295	50405	119882
296	50558	119671
297	50707	119452
298	50865	119253
299	51024	119058
300	51182	118859
301	51329	118635
302	51478	118417
303	51650	118252
304	51803	118044
305	51963	117850
306	52125	117664
307	52282	117465
308	52430	117247
309	52584	117042
310	52726	116812
311	52880	116608
312	53033	116401
313	53193	116211
314	53358	116033
315	53525	115858
316	53715	115733
317	53881	115557
318	54043	115372
319	54206	115188
320	54357	114980
321	54508	114773
322	54668	114584
323	54814	114365
324	54975	114180
325	55125	113972
326	55269	113749
327	55429	113563
328	55587	113372
329	55744	113178
330	55916	113014
331	56068	112812
332	56225	112619
333	56375	112413
334	56530	112217
335	56698	112046
336	56865	111874
337	57041	111719
338	57212	111556
339	57392	111408
340	57558	111234
341	57733	111078
342	57895	110896
343	58065	110729
344	58220	110535
345	58404	110395
346	58637	110345
347	58834	110229
348	59102	110244
349	59351	110224
350	59588	110179
351	59807	110099
352	60016	110002
353	60218	109890
354	60436	109807
355	60641	109700
356	60852	109603
357	61063	109505
358	61282	109421
359	61491	109317
360	61725	109258
361	61909	109110
362	62091	108958
363	62316	108882
364	62491	108718
365	62687	108589
366	62895	108482
367	63078	108330
368	63251	108161
369	63415	107976
370	63588	107808
371	63763	107643
372	63920	107447
373	64072	107244
374	64238	107064
375	64402	106881
376	64569	106702
377	64716	106490
378	64874	106298
379	65027	106097
380	65189	105911
381	65341	105709
382	65504	105524
383	65672	105350
384	65824	105147
385	65974	104943
386	66129	104747
387	66283	104550
388	66457	104385
389	66609	104183
390	66763	103987
391	66916	103789
392	67070	103592
393	67226	103399
394	67375	103194
395	67531	103002
396	67695	102822
397	67843	102617
398	68004	102432
399	68132	102198
400	68286	102003
401	68444	101816
402	68599	101623
403	68769	101452
404	68931	101269
405	69092	101086
406	69261	100914
407	69421	100729
408	69606	100580
409	69772	100403
410	69928	100213
411	70082	100020
412	70231	99820
413	70383	99625
414	70545	99443
415	70690	99238
416	70836	99035
417	70991	98844
418	71147	98655
419	71295	98455
420	71446	98260
421	71613	98087
422	71773	97904
423	71939	97729
424	72101	97549
425	72237	97333
426	72382	97131
427	72510	96906
428	72642	96687
429	72770	96463
430	72915	96262
431	73044	96039
432	73166	95809
433	73285	95574
434	73410	95349
435	73578	95179
436	73728	94986
437	73885	94802
438	74073	94658
439	74230	94475
440	74351	94246
441	74502	94055
442	74657	93869
443	74817	93690
444	74975	93509
445	75119	93309
446	75279	93130
447	75444	92958
448	75569	92736
449	75725	92553
450	75882	92371
451	76014	92159
452	76141	91940
453	76271	91727
454	76407	91521
455	76535	91305
456	76719	91156
457	76872	90971
458	77035	90797
459	77191	90616
460	77343	90429
461	77505	90255
462	77651	90062
463	77777	89846
464	77955	89690
465	78087	89482
466	78264	89325
467	78461	89191
468	78657	89055
469	78837	88902
470	79024	88755
471	79161	88553
472	79326	88383
473	79500	88221
474	79691	88079
475	79879	87934
476	80058	87779
477	80231	87617
478	80412	87463
479	80582	87298
480	80738	87117
481	80902	86944
482	81063	86769
483	81226	86596
484	81380	86414
485	81557	86255
486	81725	86088
487	81881	85908
488	82002	85692
489	82128	85480
490	82287	85304
491	82408	85088
492	82540	84884
493	82682	84690
494	82818	84492
495	82960	84298
496	83139	84143
497	83270	83939
498	83407	83741
499	83557	83557
500	83694	83360
501	83824	83156
502	83981	82979
503	84121	82786
504	84252	82584
505	84383	82382
506	84506	82172
507	84658	81991
508	84821	81822
509	84943	81612
510	85057	81395
511	85173	81180
512	85292	80970
513	85409	80757
514	85532	80549
515	85649	80337
516	85765	80125
517	85884	79916
518	86003	79706
519	86114	79490
520	86237	79285
521	86373	79092
522	86507	78899
523	86645	78708
524	86795	78529
525	86970	78372
526	87094	78170
527	87227	77975
528	87364	77786
529	87518	77610
530	87651	77417
531	87792	77231
532	87924	77037
533	88054	76841
534	88183	76645
535	88318	76455
536	88451	76262
537	88589	76075
538	88741	75899
539	88932	75757
540	89107	75601
541	89271	75435
542	89463	75294
543	89623	75125
544	89786	74959
545	89959	74801
546	90117	74631
547	90273	74459
548	90431	74288
549	90587	74116
550	90750	73950
551	90886	73762
552	91056	73603
553	91236	73449
554	91400	73284
555	91569	73123
556	91735	72959
557	91897	72793
558	92049	72618
559	92247	72479
560	92483	72371
561	92674	72226
562	92848	72068
563	93023	71911
564	93180	71740
565	93337	71569
566	93523	71421
567	93714	71275
568	93874	71106
569	94017	70925
570	94156	70741
571	94284	70548
572	94454	70387
573	94582	70195
574	94714	70006
575	94852	69822
576	94987	69635
577	95120	69448
578	95309	69301
579	95453	69121
580	95633	68967
581	95807	68810
582	95966	68641
583	96171	68505
584	96317	68327
585	96488	68167
586	96638	67992
587	96775	67808
588	96938	67642
589	97095	67473
590	97251	67302
591	97376	67110
592	97514	66927
593	97666	66755
594	97817	66581
595	97986	66420
596	98115	66231
597	98253	66049
598	98392	65868
599	98583	65722
600	98779	65579
601	98990	65445
602	99156	65281
603	99285	65094
604	99499	64962
605	99741	64848
606	99931	64700
607	100107	64542
608	100267	64375
609	100429	64208
610	100581	64036
611	100733	63863
612	100848	63667
613	101001	63496
614	101160	63328
615	101298	63147
616	101474	62990
617	101645	62829
618	101819	62670
619	101996	62513
620	102186	62364
621	102381	62218
622	102593	62082
623	102788	61936
624	102975	61785
625	103130	61614
626	103284	61443
627	103426	61265
628	103556	61079
629	103679	60891
630	103801	60701
631	103930	60516
632	104080	60343
633	104206	60156
634	104320	59963
635	104440	59774
636	104586	59599
637	104737	59427
638	104885	59254
639	105012	59069
640	105175	58905
641	105326	58733
642	105501	58575
643	105663	58410
644	105787	58224
645	105935	58051
646	106059	57865
647	106227	57703
648	106390	57539
649	106556	57376
650	106697	57200
651	106844	57027
652	107010	56864
653	107162	56694
654	107321	56528
655	107482	56362
656	107604	56177
657	107758	56008
658	107911	55838
659	108067	55670
660	108185	55483
661	108306	55298
662	108423	55110
663	108546	54927
664	108677	54747
665	108796	54561
666	108920	54378
667	109048	54197
668	109199	54028
669	109315	53842
670	109488	53683
671	109647	53518
672	109800	53350
673	109967	53189
674	110133	53027
675	110316	52873
676	110476	52708
677	110633	52542
678	110794	52378
679	110949	52211
680	111084	52035
681	111228	51863
682	111370	51690
683	111523	51522
684	111703	51367
685	111853	51198
686	112042	51047
687	112217	50889
688	112400	50735
689	112524	50554
690	112694	50394
691	112821	50215
692	112992	50055
693	113175	49901
694	113373	49753
695	113506	49577
696	113655	49408
697	113786	49231
698	113926	49058
699	114071	48887
700	114205	48712
701	114335	48535
702	114509	48377
703	114674	48215
704	114824	48047
705	115001	47890
706	115125	47711
707	115297	47552
708	115437	47379
709	115570	47204
710	115702	47029
711	115826	46850
712	115960	46677
713	116090	46501
714	116219	46325
715	116344	46147
716	116460	45966
717	116608	45799
718	116724	45618
719	116853	45442
720	116980	45267
721	117124	45097
722	117262	44926
723	117457	44776
724	117637	44621
725	117818	44465
726	117943	44289
727	118125	44134
728	118289	43973
729	118443	43807
730	118608	43646
731	118765	43482
732	118925	43319
733	119065	43149
734	119207	42979
735	119368	42817
736	119535	42656
737	119692	42492
738	119851	42329
739	120010	42165
740	120179	42006
741	120364	41851
742	120528	41690
743	120666	41519
744	120846	41363
745	121016	41203
746	121188	41045
747	121388	40895
748	121568	40739
749	121736	40578
750	121883	40411
751	122023	40241
752	122208	40087
753	122344	39916
754	122473	39742
755	122616	39574
756	122740	39400
757	122862	39225
758	123024	39063
759	123149	38889
760	123274	38715
761	123401	38542
762	123529	38370
763	123704	38212
764	123872	38052
765	124032	37889
766	124206	37731
767	124385	37574
768	124517	37403
769	124722	37254
770	124912	37101
771	125094	36944
772	125266	36785
773	125457	36632
774	125634	36474
775	125805	36314
776	125973	36154
777	126146	35995
778	126305	35832
779	126475	35672
780	126640	35511
781	126798	35347
782	126950	35182
783	127122	35023
784	127292	34863
785	127456	34701
786	127615	34538
787	127765	34373
788	127910	34206
789	128066	34042
790	128225	33880
791	128419	33726
792	128598	33568
793	128776	33410
794	128932	33246
795	129093	33084
796	129271	32926
797	129451	32768
798	129580	32597
799	129755	32438
800	129906	32273
801	130064	32110
802	130212	31945
803	130370	31781
804	130528	31618
805	130684	31454
806	130852	31294
807	130976	31123
808	131093	30950
809	131246	30786
810	131376	30616
811	131499	30445
812	131623	30275
813	131749	30104
814	131920	29945
815	132044	29774
816	132172	29605
817	132336	29444
818	132463	29274
819	132585	29104
820	132712	28934
821	132839	28765
822	133001	28604
823	133154	28440
824	133306	28277
825	133460	28114
826	133617	27951
827	133777	27789
828	133895	27619
829	134043	27454
830	134193	27290
831	134343	27127
832	134498	26964
833	134654	26801
834	134795	26636
835	134927	26469
836	135083	26306
837	135232	26142
838	135409	25984
839	135574	25823
840	135705	25656
841	135860	25493
842	136004	25329
843	136164	25167
844	136329	25007
845	136464	24840
846	136614	24677
847	136763	24514
848	136926	24353
849	137094	24193
850	137239	24029
851	137402	23868
852	137553	23705
853	137710	23543
854	137861	23380
855	137979	23211
856	138121	23047
857	138273	22884
858	138419	22720
859	138566	22557
860	138718	22394
861	138858	22230
862	139012	22068
863	139172	21906
864	139294	21739
865	139457	21578
866	139627	21419
867	139794	21259
868	139960	21098
869	140129	20938
870	140318	20781
871	140477	20620
872	140619	20456
873	140760	20292
874	140902	20128
875	141041	19964
876	141186	19801
877	141329	19638
878	141508	19479
879	141646	19315
880	141765	19148
881	141898	18984
882	142015	18817
883	142143	18652
884	142296	18490
885	142463	18330
886	142587	18165
887	142705	17998
888	142838	17834
889	142999	17674
890	143165	17514
891	143349	17356
892	143521	17196
893	143688	17036
894	143850	16876
895	144003	16714
896	144161	16553
897	144335	16394
898	144493	16233
899	144651	16072
900	144813	15911
901	144966	15750
902	145089	15585
903	145248	15424
904	145378	15260
905	145507	15096
906	145631	14932
907	145782	14770
908	145932	14609
909	146097	14449
910	146258	14288
911	146382	14124
912	146555	13965
913	146723	13805
914	146861	13642
915	147034	13483
916	147204	13323
917	147386	13165
918	147567	13006
919	147748	12847
920	147918	12687
921	148067	12526
922	148218	12364
923	148352	12202
924	148491	12039
925	148633	11877
926	148775	11715
927	148909	11553
928	149045	11391
929	149174	11228
930	149310	11065
931	149459	10904
932	149586	10742
933	149734	10580
934	149856	10417
935	150006	10256
936	150129	10094
937	150282	9933
938	150430	9772
939	150544	9609
940	150700	9448
941	150851	9288
942	151006	9127
943	151182	8968
944	151310	8806
945	151488	8647
946	151646	8487
947	151814	8327
948	151965	8166
949	152118	8006
950	152262	7845
951	152426	7685
952	152608	7526
953	152737	7364
954	152895	7204
955	153014	7042
956	153145	6881
957	153306	6721
958	153452	6560
959	153613	6400
960	153729	6238
961	153859	6077
962	154010	5917
963	154165	5757
964	154304	5596
965	154452	5436
966	154620	5276
967	154768	5116
968	154891	4955
969	155050	4795
970	155204	4635
971	155355	4475
972	155530	4315
973	155660	4155
974	155834	3995
975	155953	3834
976	156078	3674
977	156207	3513
978	156325	3353
979	156453	3192
980	156572	3032
981	156729	2872
982	156888	2713
983	157006	2552
984	157161	2393
985	157289	2233
986	157414	2073
987	157537	1913
988	157655	1753
989	157775	1593
990	157901	1434
991	158010	1274
992	158138	1114
993	158268	955
994	158402	795
995	158524	636
996	158652	477
997	158781	318
998	158911	159
999	159039	0
